title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
디스커버리익스페디션 레스터G RDS 구스다운 숏<b>패딩</b> DMDJ61046,https://search.shopping.naver.com/catalog/50521526913,https://shopping-phinf.pstatic.net/main_5052152/50521526913.20241218161734.jpg,138660,,네이버,50521526913,1,디스커버리익스페디션,F&F,스포츠/레저,등산,등산의류,점퍼
폴햄 무브 경량점퍼 PHF4JP3860,https://search.shopping.naver.com/catalog/58261239855,https://shopping-phinf.pstatic.net/main_5826123/58261239855.20251224225129.jpg,33900,,네이버,58261239855,1,폴햄,에이션패션,패션의류,남성의류,아우터,패딩
K2 베이글 FLEX 수지 <b>패딩</b> 여성 역시즌 구스 다운 <b>패딩</b> 점퍼 자켓 KWW24552,https://search.shopping.naver.com/catalog/58756775233,https://shopping-phinf.pstatic.net/main_5875677/58756775233.20260209165834.jpg,187060,,네이버,58756775233,1,K2,K2코리아,스포츠/레저,등산,등산의류,점퍼
데카트론 런 웜 500 <b>패딩</b> 베스트 8911507,https://search.shopping.naver.com/catalog/56799488483,https://shopping-phinf.pstatic.net/main_5679948/56799488483.20260115145054.jpg,40900,,네이버,56799488483,1,데카트론,데카트론,패션의류,남성의류,아우터,베스트
스튜디오톰보이 코듀로이 배색 카라 퀼팅 점퍼 9174413984,https://search.shopping.naver.com/catalog/57025624999,https://shopping-phinf.pstatic.net/main_5702562/57025624999.20251223171952.jpg,65990,,네이버,57025624999,1,스튜디오톰보이,신세계인터내셔날,패션의류,여성의류,점퍼,
지오다노 경량 <b>패딩</b> 베스트 075915,https://search.shopping.naver.com/catalog/57993620237,https://shopping-phinf.pstatic.net/main_5799362/57993620237.20251205043709.jpg,24300,,네이버,57993620237,1,지오다노,지오다노,패션의류,남성의류,아우터,베스트
올리브데올리브 벨티드 카라 롱 <b>패딩</b> 코트 YP5WH251,https://search.shopping.naver.com/catalog/57096160923,https://shopping-phinf.pstatic.net/main_5709616/57096160923.20251219103119.jpg,179700,,네이버,57096160923,1,올리브데올리브,올리브데올리브,패션의류,여성의류,아우터,패딩
노스페이스 경량<b>패딩</b> 화이트라벨 26SS 칼릭스 T-ball 티볼 자켓 (2COLOR),https://smartstore.naver.com/main/products/12963822468,https://shopping-phinf.pstatic.net/main_9050833/90508333478.1.jpg,309000,,더미네랄TheMineral,90508333478,2,노스페이스화이트라벨,영원아웃도어,스포츠/레저,등산,등산의류,점퍼
게스 더블스티치 다운푸퍼 점퍼 MP4W9891,https://search.shopping.naver.com/catalog/57755617513,https://shopping-phinf.pstatic.net/main_5775561/57755617513.20251116040743.jpg,54870,,네이버,57755617513,1,게스,게스,패션의류,여성의류,아우터,패딩
노스페이스 펠릭스 RDS 다운 자켓 NJ1DQ52,https://search.shopping.naver.com/catalog/52101351945,https://shopping-phinf.pstatic.net/main_5210135/52101351945.20250908105344.jpg,210720,,네이버,52101351945,1,노스페이스,,스포츠/레저,등산,등산의류,점퍼
리가 풀스킨 밍크콤비 구스다운 1종 100 88,https://search.shopping.naver.com/catalog/57967885039,https://shopping-phinf.pstatic.net/main_5796788/57967885039.20251219135021.jpg,358560,,네이버,57967885039,1,리가,,패션의류,여성의류,아우터,패딩
블랙야크 아이스제로 레이디 미들 다운자켓 1bypawu539,https://search.shopping.naver.com/catalog/58281487872,https://shopping-phinf.pstatic.net/main_5828148/58281487872.20251226170156.jpg,225300,,네이버,58281487872,1,블랙야크,블랙야크,스포츠/레저,등산,등산의류,점퍼
노스페이스 눕시 다운 <b>패딩</b> NJ1DR65A,https://search.shopping.naver.com/catalog/58356043734,https://shopping-phinf.pstatic.net/main_5835604/58356043734.20260101230707.jpg,326820,,네이버,58356043734,1,노스페이스,영원아웃도어,스포츠/레저,등산,등산의류,점퍼
스파오 라이트 재킷 SPJPF4TC01,https://search.shopping.naver.com/catalog/56863596119,https://shopping-phinf.pstatic.net/main_5686359/56863596119.20250922150737.jpg,26910,,네이버,56863596119,1,스파오,이랜드,패션의류,여성의류,점퍼,
아이더 스테롤 S 윈드스타퍼 롱 다운 자켓 DUW24537-GM,https://search.shopping.naver.com/catalog/56199178231,https://shopping-phinf.pstatic.net/main_5619917/56199178231.20250810110851.jpg,233100,,네이버,56199178231,1,아이더,아이더,스포츠/레저,등산,등산의류,점퍼
노스페이스 액트 프리 EX 하이브리드 다운 자켓 NJ1DR03,https://search.shopping.naver.com/catalog/58023801163,https://shopping-phinf.pstatic.net/main_5802380/58023801163.20251204215244.jpg,160070,,네이버,58023801163,1,노스페이스,영원아웃도어,스포츠/레저,등산,등산의류,점퍼
K2 구스다운 실크스타 프리제 여성 KWU24542,https://search.shopping.naver.com/catalog/55614286524,https://shopping-phinf.pstatic.net/main_5561428/55614286524.20250704002710.jpg,148020,,네이버,55614286524,1,K2,K2코리아,스포츠/레저,등산,등산의류,점퍼
에르노 마틸데 하이넥 <b>패딩</b>점퍼 PI1283DIC 12017Z,https://search.shopping.naver.com/catalog/56774371814,https://shopping-phinf.pstatic.net/main_5677437/56774371814.20251001160424.jpg,526400,,네이버,56774371814,1,에르노,에르노,패션의류,여성의류,아우터,패딩
지오다노 여자 숏 푸퍼 <b>패딩</b> 점퍼 375920,https://search.shopping.naver.com/catalog/58118620854,https://shopping-phinf.pstatic.net/main_5811862/58118620854.20251212230852.jpg,45000,,네이버,58118620854,1,지오다노,지오다노,패션의류,여성의류,아우터,패딩
