title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
데너 몽골 햇 캐시미어100 터틀넥<b>니트</b> 25FW,https://search.shopping.naver.com/catalog/58297734333,https://shopping-phinf.pstatic.net/main_5829773/58297734333.20260129003327.jpg,68310,,네이버,58297734333,1,,,패션의류,여성의류,니트,풀오버
제너럴아이디어 레이어드 브이넥 <b>니트</b> 풀오버 WBE3L05512,https://search.shopping.naver.com/catalog/56437641151,https://shopping-phinf.pstatic.net/main_5643764/56437641151.20250915114908.jpg,33480,,네이버,56437641151,1,제너럴아이디어,,패션의류,여성의류,니트,풀오버
지오다노 케이블 빅카라 집업 긴팔 가디건 355911,https://search.shopping.naver.com/catalog/58332631579,https://shopping-phinf.pstatic.net/main_5833263/58332631579.20251230215511.jpg,28800,,네이버,58332631579,1,지오다노,지오다노,패션의류,여성의류,니트,카디건
남자가디건 빅사이즈 커플 오버핏 정장 <b>니트</b> 가디건,https://smartstore.naver.com/main/products/6222954918,https://shopping-phinf.pstatic.net/main_8376745/83767457407.86.jpg,27800,,션타운,83767457407,2,,,패션의류,남성의류,니트,카디건
지고트 케이블 <b>니트</b> 숄 가디건 JR9E1CD513,https://search.shopping.naver.com/catalog/56631266520,https://shopping-phinf.pstatic.net/main_5663126/56631266520.20250916095212.jpg,38460,,네이버,56631266520,1,지고트,바바패션,패션의류,여성의류,니트,카디건
모브온 25FW 하이넥 풀오버 가디건 3종,https://search.shopping.naver.com/catalog/57727760539,https://shopping-phinf.pstatic.net/main_5772776/57727760539.20251111234705.jpg,28100,,네이버,57727760539,1,,,패션의류,여성의류,니트,카디건
제너럴아이디어 에센셜 카디건 WBD3L04503,https://search.shopping.naver.com/catalog/56437696034,https://shopping-phinf.pstatic.net/main_5643769/56437696034.20250902165706.jpg,30800,,네이버,56437696034,1,제너럴아이디어,,패션의류,여성의류,니트,카디건
수아레우먼 우먼 우먼캐시미어 100 라운드 가디건 155476,https://search.shopping.naver.com/catalog/58164938209,https://shopping-phinf.pstatic.net/main_5816493/58164938209.20260127140521.jpg,62200,,네이버,58164938209,1,수아레우먼,,패션의류,여성의류,니트,카디건
라코스테 립조직 럭비 폴로 스웨터 AH405E-55N,https://search.shopping.naver.com/catalog/56309631827,https://shopping-phinf.pstatic.net/main_5630963/56309631827.20250817225456.jpg,188360,,네이버,56309631827,1,라코스테,라코스테,패션의류,남성의류,니트,풀오버
폴로랄프로렌 하프집업<b>니트</b> 꽈배기반집업 <b>니트</b>스웨터 (4color),https://smartstore.naver.com/main/products/12416660228,https://shopping-phinf.pstatic.net/main_8996117/89961170953.1.jpg,73900,,베스트멀티샵,89961170953,2,폴로랄프로렌,폴로랄프로렌,패션의류,남성의류,니트,터틀넥
