period,ratio,keyword
2025-03-13,84.23772,숏 트렌치코트
2025-03-14,100.0,숏 트렌치코트
2025-03-15,86.04651,숏 트렌치코트
2025-01-16,1.29198,롱 트렌치코트
2025-01-17,2.06718,롱 트렌치코트
2025-01-18,3.61757,롱 트렌치코트
2025-01-19,4.39276,롱 트렌치코트
2025-01-20,4.13436,롱 트렌치코트
2025-01-21,1.80878,롱 트렌치코트
2025-01-22,2.58397,롱 트렌치코트
2025-01-23,1.80878,롱 트렌치코트
2025-01-24,2.58397,롱 트렌치코트
2025-01-25,3.61757,롱 트렌치코트
2025-01-26,5.94315,롱 트렌치코트
2025-01-27,4.13436,롱 트렌치코트
2025-01-28,3.10077,롱 트렌치코트
2025-01-29,3.87596,롱 트렌치코트
2025-01-30,6.71834,롱 트렌치코트
2025-01-31,2.58397,롱 트렌치코트
2025-02-01,6.45994,롱 트렌치코트
2025-02-02,7.23514,롱 트렌치코트
2025-02-03,4.90956,롱 트렌치코트
2025-02-04,6.45994,롱 트렌치코트
2025-02-05,4.39276,롱 트렌치코트
2025-02-06,10.59431,롱 트렌치코트
2025-02-07,4.65116,롱 트렌치코트
2025-02-08,6.20155,롱 트렌치코트
2025-02-09,7.75193,롱 트렌치코트
2025-02-10,8.78552,롱 트렌치코트
2025-02-11,9.56072,롱 트렌치코트
2025-02-12,12.4031,롱 트렌치코트
2025-02-13,6.97674,롱 트렌치코트
2025-02-14,10.33591,롱 트렌치코트
2025-02-15,12.4031,롱 트렌치코트
2025-02-16,18.86304,롱 트렌치코트
2025-02-17,19.12144,롱 트렌치코트
2025-02-18,16.02067,롱 트렌치코트
2025-02-19,17.05426,롱 트렌치코트
2025-02-20,15.50387,롱 트렌치코트
2025-02-21,12.4031,롱 트렌치코트
2025-02-22,16.79586,롱 트렌치코트
2025-02-23,22.73901,롱 트렌치코트
2025-02-24,19.12144,롱 트렌치코트
2025-02-25,17.31266,롱 트렌치코트
2025-02-26,19.12144,롱 트렌치코트
2025-02-27,20.41343,롱 트렌치코트
2025-02-28,29.19896,롱 트렌치코트
2025-03-01,34.36692,롱 트렌치코트
2025-03-02,33.85012,롱 트렌치코트
2025-03-03,37.72609,롱 트렌치코트
2025-03-04,31.78294,롱 트렌치코트
2025-03-05,32.04134,롱 트렌치코트
2025-03-06,41.34366,롱 트렌치코트
2025-03-07,35.65891,롱 트렌치코트
2025-03-08,34.62532,롱 트렌치코트
2025-03-09,45.73643,롱 트렌치코트
2025-03-10,38.50129,롱 트렌치코트
2025-03-11,43.41085,롱 트렌치코트
2025-03-12,38.75968,롱 트렌치코트
2025-03-13,41.60206,롱 트렌치코트
2025-03-14,36.17571,롱 트렌치코트
2025-03-15,32.81653,롱 트렌치코트
2025-01-18,1.29198,루즈핏 트렌치코트
2025-02-08,1.29198,루즈핏 트렌치코트
2025-02-11,1.29198,루즈핏 트렌치코트
2025-02-16,1.29198,루즈핏 트렌치코트
2025-02-20,2.84237,루즈핏 트렌치코트
2025-02-21,1.80878,루즈핏 트렌치코트
2025-02-22,3.61757,루즈핏 트렌치코트
2025-02-23,2.06718,루즈핏 트렌치코트
2025-02-24,2.32558,루즈핏 트렌치코트
2025-02-27,2.58397,루즈핏 트렌치코트
2025-02-28,2.84237,루즈핏 트렌치코트
2025-03-01,2.32558,루즈핏 트렌치코트
2025-03-02,3.87596,루즈핏 트렌치코트
2025-03-03,3.10077,루즈핏 트렌치코트
2025-03-04,2.58397,루즈핏 트렌치코트
2025-03-05,3.87596,루즈핏 트렌치코트
2025-03-06,2.58397,루즈핏 트렌치코트
2025-03-07,3.61757,루즈핏 트렌치코트
2025-03-08,2.32558,루즈핏 트렌치코트
2025-03-09,5.16795,루즈핏 트렌치코트
2025-03-10,3.61757,루즈핏 트렌치코트
2025-03-11,4.13436,루즈핏 트렌치코트
2025-03-12,4.65116,루즈핏 트렌치코트
2025-03-13,7.75193,루즈핏 트렌치코트
2025-03-14,3.61757,루즈핏 트렌치코트
2025-03-15,5.42635,루즈핏 트렌치코트
2025-03-01,1.55038,미디 트렌치코트
2025-03-02,1.29198,미디 트렌치코트
2025-03-07,2.32558,미디 트렌치코트
2025-03-09,1.55038,미디 트렌치코트
